mu_norm,sim,x,y
||u|| = 0,1,-0.326233360705649,1.3297992629225
||u|| = 0,1,-0.329507771815361,1.59528080213779
||u|| = 0,1,-0.928567034713538,-0.29472044679056
||u|| = 0,1,0.575781351653492,-0.305388387156356
||u|| = 0,1,1.14765700923635,-0.799009248989368
||u|| = 0,1,-2.2146998871775,1.12493091814311
||u|| = 0,1,0.252223448156132,-0.891921127284569
||u|| = 0,1,-0.593901321217509,0.821221195098089
||u|| = 0,1,-0.133336360814841,0.377395645981701
||u|| = 0,1,-0.61982574789471,-1.98935169586337
||u|| = 0,1,1.08576936214569,-0.69095383969683
||u|| = 0,1,-0.47815005510862,0.417941560199702
||u|| = 0,1,0.433310317456782,-0.542888255010254
||u|| = 0,1,-0.0538050405829051,-1.37705955682861
||u|| = 0,1,0.992160365445798,-0.429513109491881
||u|| = 0,1,-0.763175748457544,1.10002537198388
||u|| = 0,1,0.560746090888056,-0.452783972553158
||u|| = 0,1,0.556663198673657,-0.68875569454952
||u|| = 0,1,-1.56378205107101,1.15653699715018
||u|| = 0,1,-0.881107726454215,-0.112346212150228
||u|| = 0,1,-2.44136462889459,-0.376702718583628
||u|| = 0,1,-1.12936309608079,1.43302370170104
||u|| = 0,1,0.172623502645857,0.618243293566247
||u|| = 0,1,0.569719627442413,-0.135054603880824
||u|| = 0,1,0.940649162618609,-0.0110454784656636
||u|| = 0,1,0.0280021587806661,-0.743273208882405
||u|| = 0,1,-0.36594112304922,-1.4250983947325
||u|| = 0,1,-2.17261167036215,0.153253338211898
||u|| = 0,1,0.649010077708898,0.257338377155533
||u|| = 0,1,-0.934097631644251,-1.2536334002391
||u|| = 0,1,0.117753598165951,0.14377148075807
||u|| = 0,1,0.0743413241516641,-0.589520946188072
||u|| = 0,1,1.25408310644997,0.77214218580453
||u|| = 0,1,-1.52356680042976,0.593946187628422
||u|| = 0,1,0.275778029088027,0.996986860909106
||u|| = 0,1,-0.267098790772231,0.370018809916288
||u|| = 0,1,-0.873262111744435,0.00837095999603331
||u|| = 0,1,0.700213649514998,1.58683345454085
||u|| = 0,1,-1.45598840106634,-0.282173877322451
||u|| = 0,1,0.473400636439312,-1.22461261489836
||u|| = 0,1,-0.776776621764597,-0.615989907707918
||u|| = 0,1,0.654584643918818,0.158028772404075
||u|| = 0,1,-1.62544730346494,-1.28074943178832
||u|| = 0,1,0.384185357826345,1.68217608051942
||u|| = 0,1,-0.97228683550556,0.0253828675878054
||u|| = 0,1,0.207380743601965,-0.650696353310367
||u|| = 0,1,-1.11959910457218,0.335617209968815
||u|| = 0,1,0.177330482269606,0.494188331267827
||u|| = 0,1,0.197684262345795,-1.06869271125479
||u|| = 0,1,-0.179556530043387,-0.100190741213562
||u|| = 2,2,0.531240798568325,-0.961892033312833
||u|| = 2,2,-1.91974824344901,-1.13037567424629
||u|| = 2,2,-1.08775584748242,-0.709862321457854
||u|| = 2,2,-1.86121298788034,1.98447393665293
||u|| = 2,2,-0.965714856623071,-0.285711499645351
||u|| = 2,2,-1.03966897694891,1.78222896030858
||u|| = 2,2,-0.975556104015926,1.1210233501027
||u|| = 2,2,-2.43226515453962,1.01282869212708
||u|| = 2,2,-1.01861263471688,-0.533017493145244
||u|| = 2,2,-2.00493777682814,1.95465164222325
||u|| = 2,2,-2.17824465736539,1.47371046159194
||u|| = 2,2,-2.28963671017735,0.792203270299649
||u|| = 2,2,-1.3575793238391,1.21064450013175
||u|| = 2,2,-0.284157720488246,-0.776675273979758
||u|| = 2,2,-0.494770422488083,-0.897697356061877
||u|| = 2,2,-1.75348743266648,-0.559061914900466
||u|| = 2,2,0.445439532545453,-0.250498223059941
||u|| = 2,2,-2.62249393012074,1.90354746734764
||u|| = 2,2,-2.15195206829023,-0.261077402389768
||u|| = 2,2,-0.184161451551261,-1.19876776530741
||u|| = 2,2,-0.182388119172277,0.949914398043881
||u|| = 2,2,-0.952427373005019,1.27571551185092
||u|| = 2,2,0.632014722252771,0.187528702962892
||u|| = 2,2,-3.671618767326,1.13922980273408
||u|| = 2,2,-0.68938369720296,1.20416568644133
||u|| = 2,2,-2.50623479748072,0.158164762560122
||u|| = 2,2,1.40021984515617,1.79608807970864
||u|| = 2,2,-1.10451338933669,0.0841799043222427
||u|| = 2,2,-0.56677298496602,-0.524112125481456
||u|| = 2,2,-1.94627737398282,0.434847761502699
||u|| = 2,2,-0.356421172275481,-0.268784875817773
||u|| = 2,2,1.05252559530764,-1.41003834066371
||u|| = 2,2,-2.70111028463548,1.60060768055948
||u|| = 2,2,0.207919778804642,-1.37226945114308
||u|| = 2,2,-3.25437549369945,-1.27545881782976
||u|| = 2,2,-2.38669497464607,-0.386949603644931
||u|| = 2,2,-2.77304793557165,0.180820471407964
||u|| = 2,2,-0.487329205278997,-1.3584572535632
||u|| = 2,2,-0.236077264150317,-0.974784848093081
||u|| = 2,2,-0.842615197589633,-0.601160105152349
||u|| = 2,2,-3.91073548131114,0.37228685891422
||u|| = 2,2,-1.13780167031419,-0.749630095483078
||u|| = 2,2,-2.44235962082815,0.0608236085387599
||u|| = 2,2,-0.421373572405353,-0.350834423147859
||u|| = 2,2,1.52054052556181,-0.0355102316760449
||u|| = 2,2,-2.56416860268364,1.35893982099812
||u|| = 2,2,-2.07232725071183,-0.413277492333988
||u|| = 2,2,0.106598040927417,-0.783316657008623
||u|| = 2,2,-2.6909967815986,-0.519468727358143
||u|| = 2,2,-0.955770419072941,-0.430640974722993
||u|| = 4,3,0.868780497619914,-0.446178050456648
||u|| = 4,3,-4.19578282628638,-1.15213188591513
||u|| = 4,3,-4.14399917831711,0.0125934216938619
||u|| = 4,3,-5.26736872208989,-1.21885741557799
||u|| = 4,3,-2.16146054151718,-1.32021316909204
||u|| = 4,3,-4.1520457066556,0.252652369646215
||u|| = 4,3,-0.323176011496426,-0.117309685426335
||u|| = 4,3,1.22431362428059,0.19981160798297
||u|| = 4,3,0.793584084403959,0.178277612685604
||u|| = 4,3,-1.66647484003016,-0.484455109150991
||u|| = 4,3,-0.796060480443999,2.46881665437855
||u|| = 4,3,-2.86321770190068,-0.0720784740865598
||u|| = 4,3,-2.74306087797422,-1.57513191969082
||u|| = 4,3,0.73650214568861,-0.352129616945692
||u|| = 4,3,-5.82876765468024,0.708942591504892
||u|| = 4,3,-4.79376123087253,-0.979283769996279
||u|| = 4,3,-1.61617903108604,0.397104801677157
||u|| = 4,3,-4.34843771618003,-0.794593708549281
||u|| = 4,3,-0.620686610598778,0.952061464221396
||u|| = 4,3,-0.455545976260457,-0.899166315538872
||u|| = 4,3,-4.55907216578797,0.473669574129336
||u|| = 4,3,-1.73726371053359,-1.41142513580887
||u|| = 4,3,-1.41614551563143,-1.02608791771291
||u|| = 4,3,-3.21485783892317,0.917456736975022
||u|| = 4,3,-3.15818069722447,0.923735770173502
||u|| = 4,3,0.351966555937571,1.1743373570956
||u|| = 4,3,-0.0161131003276274,-0.762817905297568
||u|| = 4,3,-4.18619743307504,-1.28900661094787
||u|| = 4,3,-0.469852680474521,1.08742441263163
||u|| = 4,3,0.267358452234395,0.2318261028602
||u|| = 4,3,-3.50229718732553,-1.14974118275596
||u|| = 4,3,-0.988052821592123,-0.156852910196835
||u|| = 4,3,-5.17238271201985,0.0194078652002238
||u|| = 4,3,-4.79429630330349,1.22440609580274
||u|| = 4,3,-1.23303701634531,1.26644200189579
||u|| = 4,3,-3.11361024933446,0.439760291371926
||u|| = 4,3,-0.503206603670809,-1.29118678664193
||u|| = 4,3,1.05394666049401,-0.39087803343083
||u|| = 4,3,1.04157992863983,0.146299038318748
||u|| = 4,3,0.931634970926501,-0.209274345208391
||u|| = 4,3,-3.98225760121514,1.08252390839609
||u|| = 4,3,0.602284246232936,1.01746117679617
||u|| = 4,3,-3.18330184406483,-0.0586331485494726
||u|| = 4,3,-4.48133841544876,-0.68258283167826
||u|| = 4,3,0.879622677805293,0.243218071711316
||u|| = 4,3,-3.27894428913619,1.61876652099431
||u|| = 4,3,-0.210787370430408,0.298492680494531
||u|| = 4,3,-3.94985150566489,0.188870195293106
||u|| = 4,3,0.627619423377421,-1.49578498093657
||u|| = 4,3,-0.484335465051033,0.67485561592317
